lat,lon,name
25065131,81099692,Manikpur Sarhat
25067942,80192885,Chandla
25140943,80005740,Lauri
25144701,81447182,Bargarh
25183606,81616653,Shankargarh
25185950,80470605,Naraini
25215825,80916400,Chitrakoot Dham
25174388,80869130,Chitrakoot
25241803,80657873,Badousa
25270790,81372619,Mau
25288410,80574686,Atarra Buzurg
25288163,80043790,Mudahara
25336025,80965525,Pahari
25362877,80477619,Khurhand
25386366,81149418,Rajapur
25401567,80003513,Kabrai
25438130,81833800,Prayagraj
25530619,81374938,Manjhanpur
25514983,80906762,Kamasin
25565691,80063488,Khanna
25546935,80701299,Baberu
25608082,81846355,Soraon
25627817,80403698,Paprenda
25636528,81626149,Lalgopalganj
25666054,81326226,Saini
25696042,81920676,Mau Aimma
25859638,81498045,Sangramgarh
25800953,80750748,Ghazipur
25717210,81513702,Kunda
25811232,80538014,Lalauli
25823393,81774572,Jethwara
25838198,81734351,Derwa
25875693,81973468,Bhupiamau
25883129,80718034,Sah
25900500,80891500,Haswa
25901957,81278092,Mustafabad
25931240,81704421,Lalganj
25929115,80810599,Fatehpur
25951600,80151100,Hamirpur
26028687,81454017,Salon
26033437,80706226,Malwan
26036405,80576101,Bindki
26052852,81273779,Jagatpur
26075766,81051715,Dalmau
26099435,80476907,Sarai Bakevar
26103621,80353154,Jahanabad
26155119,80167498,Ghatampur
26157577,80828260,Sareni
26167271,80970543,Lalganj
26207136,81692590,Gauriganj
26201306,80351640,Gopalpur Narwal
26220773,81246520,Raebareli
26265082,81548473,Jais
26307393,81656044,Bhatgavan
26341926,81167194,Harchandpur
26284004,80488400,Sarsaul
26331542,81877822,Aliganj
26375004,81803085,Musarfirkhana
26381215,81274074,Maharajganj
26428800,80879800,Maurawan
26425418,80169434,Sachendi
26455532,81413349,Semrauta
26456101,81619820,Jagdishpur
26459149,80773501,Purwa
26512049,81782278,Haliyapur
26524753,81490814,Inhauna
26562038,81030453,Nigohan
26594200,81909100,Milkipur
26603330,81581604,Bazar Shuki
26674178,81773319,Amaniganj
26680635,80983083,Mohanlalganj
26685037,80143595,Shiwarajpur
26709461,81700251,Mirmau
26737783,80344557,Safipur
26774101,80636436,Hasanganj
26780274,80674572,Mohan
26749240,81748054,Rudauli
26801102,80483411,Asiwan
26806531,81526334,राम स्नेही घाट
26836700,80935300,Ganesh Ganj
26838100,80934600,Lucknow
26842485,80064579,Bilhaur
26848700,80927000,Aminabad
26853600,80889900,Sadat Ganj
26857277,80959345,Civil Lines
26867714,80904214,Chowk
26870734,80941413,Hasan Ganj
26882900,80946900,Mahanagar Colony
26888610,81556182,Dariyabad
26921482,80019557,Araul
26923195,80710045,Malihabad
26927409,81194837,Barabanki
26933300,81232300,Nawabganj
26955748,81986709,Tarabganj
26956900,80183000,Gunj Muradabad
25393729,81860203,Naini Junction
25443035,81880498,Daraganj
25469048,81867469,Prayag Junction
25539384,81979997,Sarai Chandi
25469819,81661905,Manauri
25318022,81819351,Iradatganj
25393635,81860014,Naini Junction
25488427,81983806,Sahson
25428110,81913752,Jhusi
25750000,80750000,Fatehpur
26750000,82000000,Faizabad
26750229,80999926,Lucknow
26250000,82000000,Sultānpur
26500000,80000000,Kānpur
25500821,80499762,Bānda
26500000,80500000,Unnāo
26250000,81250000,Rāe Bareli
25500000,81500000,Prayāgrāj
25750000,81750000,Pratāpgarh
26901331,81215160,Bāra Banki
25750000,80000000,Hamīrpur
25464150,81865393,Allenganj Chauraha
25467871,81867758,Prayag Junction
25439681,81849293,Allahabad City
25444012,81882143,ADDA
25455450,81872275,LABOUR CHAURAHA
25464576,81867281,Chota Baghara Railway Crossing
26847188,80946095,Hazratganj Police Station
26860197,80986681,Shiva Guest House
26864435,80982179,Shailani Mata Mandir
26870895,80960557,Central Bank of India Staff Training College
26872505,80960396,Canara Bank
26870712,80963036,IOCL
26852941,80980525,UP Badminton Academy
26872990,80958100,UP Bharat Scouts & Guides
26875139,80958108,"Gole Market, Mahanagar"
26861571,80993774,Indian Express
26861441,80992300,UCO Bank
26861741,80992730,E-Suvidha Integrated Citizen Service Centre
26864792,80996285,Bank of India
26865088,80996398,Indian Oil Petrol Pump
26866349,80996189,Hindustan Times
26868930,80996723,PNB Zonal Office
26872004,80996467,Indian Oil Petrol Station
26885772,80992566,Indian Oil Petrol Station
26864916,80981729,Jugauli Crossing
26861141,80988489,Vishwas Khand Pani Tanki
26860583,81002905,Gomti Nagar
26503251,80252686,Kalianpur
26425968,80392243,kda chauraha
26468619,80124861,Bhaupur
26830507,80924415,Lucknow Charbagh
26875341,80927572,Daliganj
26831158,80924360,Lucknow Charbagh
26859306,80918089,Lucknow City
26464919,80242425,local
25473779,80331272,Banda
26400882,80400004,Jajmau
26858292,80925677,Gate
26859043,80924035,Gate door
26510464,80235343,Kargil circle
25495199,81868293,MNNIT Hostel Area
25437234,80156754,Mataundh
25451919,80236307,Khairar Junction
25215590,80771470,Bharatkup
25063214,81094056,Manikpur Junction
25163859,81450389,Bargarh
26753045,81983111,Sohawal
26152873,81806103,Amethi
25916752,80801665,Fatehpur
25958852,80749338,Kurasti Kalan
27121752,80146777,Madhonganj
27038568,80158288,Mallanwan
25000560,80874693,Tikaria
25324238,81841817,Naini Airfield (historical)
25422229,81892325,Triveni Sangam
26465833,80305277,Mariampur School
26465464,80305789,Mariampur Hospital
25559788,81490347,Bharwari
26825131,81626136,Patranga
26862159,81550070,Daryabad
26786393,81705347,Rauzagaon
26204021,81685669,Gauriganj
26177230,81736528,Talakhajuri
26233215,81610956,Bani
26262030,81519591,Jais
26172390,80973254,Lalganj
26214441,81252846,Civil Line Chauraha
25903235,81299949,Unchahar Junction
26603555,80272428,Bithoor
25801521,81934873,Bishnathganj
25576231,81529552,Khokhraj/Sirohi
25648888,81320152,Sirathu
25576061,81529663,Khokhraj/Sirohi
26838275,80923278,Naka Hindola
26813951,80907797,Alambagh
25826671,80976919,Rasulabad
26295832,80464136,Sirsaul
25290740,80576971,Atarra
25217387,80923632,Chitrakut Dham Karwi
26116535,80580766,Bindki Road
26151482,80174645,Ghatampur
26232793,80203913,Patara
26601755,80043341,Sheoli
26920643,80018951,Aroul
26839656,80060635,Bilhaur
26460913,80321758,Kanpur
26685861,80138977,Barrajpur
26740216,80095995,Utripura
26543584,80487148,Unnao
26744723,80489760,Rasulabad
26311267,80781602,Takia
25677049,81567861,Bhadri
25608888,81688354,Ram Chaura Road
26891644,80215060,Bangarmau
26455843,80328102,Kanpur Anwarganj
25313585,81916015,Karchana
25315778,81916829,Rampur
26465483,80314929,Darshan Purwa Park
26465420,80313250,New Vasanth Cinema
26464330,80312741,Central Park
26464244,80314388,Agarwal Hospital
26469238,80317038,Gumti Gurudwara
26468763,80318223,Rama Krishna Mission Hospital
26470832,80318127,St Xaviers High School
26470203,80320010,Hiralal Khanna College
26468057,80289674,Mahatma Gandhi College
26463794,80294112,Rahul Sweets and Namkin
26466023,80290210,Saraswati Mahila Mahavidyalaya
26466430,80290153,Central Bank of India
26464961,80290550,Aashi Medical Store
26464947,80290434,Rama Medical Store
26465110,80292966,Mishra Motor Training School
26465298,80293196,Seema Provision and General Store
26463468,80294308,Richa Electronics
26463533,80294301,New Golden Medical Store
26467239,80314440,Peter England
26466467,80313625,Bank of Baroda
26467110,80314285,Raj Jewelry
26467173,80314607,Jeet Electronics
26467836,80315436,Dashmesh Cloth House
26468279,80315865,BATA
26467902,80315523,Gurunanak Cloth House
26468368,80315997,Krishna Optician
26467946,80315562,Shri Durga Fruit Co
26469063,80317590,Dalmia Fashion Mall
26468490,80316007,Liberty
26468337,80316230,Regal Foot World
26468370,80316190,Novelty Collection
26468183,80316565,M/s Sukhmani
26468251,80316160,Hemkunt Hosiery
26468193,80316127,Deepa Foot World
26467543,80315010,Paramax Readymade
26467216,80314684,Z-Rivaaj Ladies
26467690,80314933,Bombay Garment House
26467742,80314996,Suman Suits Fashion
26465011,80291258,Mosque
26465139,80293734,Kohli Fashion
26465280,80293667,Kumar Optician
26464816,80293868,Rashmi Optician
26464957,80293815,Eye Care Optician
26463298,80295215,Sumeet Medical Store
26463490,80295207,Kalyan Bakery Corner
26463485,80294892,Shriya Electricals
26463531,80294487,Ahuja Electronics
26464052,80294101,Dr Shiv Mangal Singh
26463555,80294562,Arora Shoes
25683253,80114767,Maudaha
26454804,80352536,Drinking Water on Platform-4
26453611,80351536,Kanpur Central Parking (Contonment Side)
26455103,80351228,Kanpur Central Parking (City Side)
26756059,81157674,Amethi
26880289,80916600,Khadra
26885001,80929707,Triveni Nagar
26225836,81239574,Khalsa chaukk
25477529,80334921,Banda
25490366,80336368,RANA PRATAP Chauk
25920912,80799624,Shadipur Chauraha
25545979,81883546,Abandoned Airbase
25525654,81866963,Phaphamau Junction
25539250,81914583,Tharwai
26478904,80388953,Shuklaganj
26448766,80365065,Kanpur Cantonment
26406561,80324038,Naubasta
26478124,80311431,Lala Lajpat Rai and Associate Hospital
26854158,80994878,Cafe Coffee Day
26508277,80230901,State Bank of India
26508233,80230898,Union Bank of India
26511550,80236353,Campus Restaurant
26511270,80236316,Union Bank of India
26852589,80936321,Gemini Continental
26853398,80939496,State Bank of India
26858609,80976273,Spencer's
25763788,81411804,Garhi Manikpur
25462206,81856393,Punjab National Bank
26790834,80870180,Lalbagh
26228826,81248287,MAP
26833496,80926414,Charbagh
26837019,80917922,Arya Nagar
26777664,80872051,Vikram Nagar
26875987,80836724,Bawali
26225593,81234799,Bus Stop Chauraha
25911588,82000788,Pratapgarh Junction
26113979,81848256,Misrauli
26869807,80997144,"Wave, West End Mall"
26456787,80353476,trial
26873547,80959698,Mahanagar Post Office
26873942,80957799,Shakun Medical Store
26875005,80958216,Cakes and Bakes
26875128,80958297,Pappu Store
26874688,80960347,"Devishiv Hospital, Lucknow"
26873085,80958727,Mahanagar Police Station
25392672,81859080,Naini
25452700,81834644,Hot Stuff
25464451,81864205,Allenganj
25452302,81832988,Civil Lines
25475320,81854424,Mumfordganj
25497944,81858574,Teliyarganj
25499493,81869960,Govindpur
25452886,81871762,Allahpur
25470438,81821637,Ashok Nagar
25460901,81856388,Colonel Ganj
25441497,81835639,Johnstonganj
25465609,81852011,Katra
25438441,81834022,Chowk
25458924,81861349,KAMLA NEHRU HOSPITAL
25456994,81863676,Tagore Town
25477761,81846038,Muirabad
25441564,81835893,Allahabad City Post Office
25437230,81833058,Chowk Police Station
25454580,81834524,Spencer's
25454846,81834406,PVR Cinemas
25423321,81889132,Sangam
25450464,81836324,McDonald's
25451027,81830455,Axis Bank
25438893,81834049,Ghanta Ghar
25766933,80530872,Chilla
25462094,81865388,Allahabad Bank
