lat,lon,name
24699453,81187131,Tons
24699468,81184774,Tons
24699588,81183252,Tons
24699609,81182978,Tons
24699737,81189037,Tons
24700021,81190754,Tons
24700347,81179870,Tons
24700659,81178855,Tons
24700858,81177340,Tons
24700900,81195158,Tons
24701099,81176279,Tons
24701652,81199187,Tons
24702190,81148559,Tons
24702943,81173608,Tons
24703049,81150417,Tons
24703255,81201920,Tons
24703582,81172219,Tons
24704092,81152030,Tons
24704178,81171328,Tons
24704972,81169876,Tons
24704986,81203184,Tons
24705000,81154042,Tons
24705468,81167784,Tons
24705852,81164536,Tons
24706263,81155853,Tons
24706958,81156572,Tons
24707313,81157649,Tons
24707441,81158096,Tons
24707497,81158289,Tons
24707525,81161069,Tons
24707667,81158836,Tons
24707667,81160148,Tons
24707724,81159679,Tons
24710760,81207635,Tons
24714335,81208665,Tons
24716845,81209681,Tons
24722349,81213319,Tons
24727328,81216598,Tons
24732405,81220611,Tons
24737313,81224437,Tons
24741610,81228107,Tons
24744177,81230871,Tons
24746489,81234322,Tons
24748190,81238335,Tons
24750757,81242770,Tons
24751537,81243020,Tons
24753125,81243301,Tons
24753820,81242989,Tons
24754685,81242458,Tons
24755848,81240756,Tons
24756869,81239163,Tons
24759280,81236711,Tons
24761620,81235446,Tons
24763803,81234494,Tons
24767391,81234182,Tons
24770042,81234494,Tons
24772438,81235915,Tons
24773275,81263648,Tons
24773473,81266053,Tons
24773800,81267271,Tons
24774494,81261446,Tons
24774920,81269067,Tons
24775232,81239038,Tons
24776791,81256340,Tons
24776990,81269816,Tons
24777840,81253764,Tons
24777954,81242177,Tons
24778152,81269535,Tons
24779088,81251780,Tons
24779825,81244941,Tons
24780080,81268271,Tons
24780350,81248813,Tons
24780463,81246565,Tons
24781768,81266553,Tons
24782243,81265188,Tons
24784312,81263491,Tons
24787522,81262620,Tons
24789567,81262532,Tons
24791276,81262943,Tons
24791491,81276136,Tons
24791772,81263062,Tons
24791812,81277638,Tons
24792333,81279404,Tons
24792483,81273963,Tons
24793071,81271601,Tons
24793599,81266658,Tons
24793639,81264386,Tons
24793737,81280862,Tons
24793898,81265370,Tons
24795862,81282098,Tons
24797536,81282285,Tons
24798459,81282332,Tons
24799526,81282881,Tons
24799843,81289920,Tons
24800010,81288096,Tons
24800055,81292073,Tons
24800165,81283767,Tons
24800435,81286578,Tons
24800564,81294455,Tons
24800630,81285214,Tons
24801558,81296175,Tons
24803068,81297817,Tons
24803831,81299556,Tons
24804331,81300881,Tons
24805466,81302511,Tons
24806246,81305552,Tons
24808664,81306854,Tons
24811008,81307341,Tons
24812749,81308282,Tons
24813252,81309026,Tons
24813731,81310470,Tons
24814746,81314258,Tons
24816094,81318691,Tons
24816488,81322611,Tons
24817233,81326398,Tons
24818084,81327959,Tons
24819218,81328959,Tons
24820692,81328990,Tons
24823583,81327741,Tons
24828260,81323400,Tons
24831718,81321338,Tons
24836480,81319995,Tons
24836758,80272061,Baghain
24837384,80272210,Baghain
24838160,80272610,Baghain
24840009,80273433,Baghain
24840249,81319527,Tons
24841097,80273746,Baghain
24842392,80274068,Baghain
24843046,80274436,Baghain
24844044,80274777,Baghain
24844925,81316747,Tons
24844940,80274613,Baghain
24845594,80281205,Baghain
24845594,80281502,Baghain
24845651,80280617,Baghain
24845658,80281996,Baghain
24845744,80274534,Baghain
24845779,80280147,Baghain
24845850,80282365,Baghain
24846071,80278328,Baghain
24846135,80279410,Baghain
24846177,80278822,Baghain
24846192,80274660,Baghain
24846213,80277748,Baghain
24846427,81314280,Tons
24846456,80283405,Baghain
24846512,80275075,Baghain
24846554,80277207,Baghain
24846775,80275608,Baghain
24846818,80276517,Baghain
24846826,80284793,Baghain
24847448,81312437,Tons
24847487,80285960,Baghain
24847836,80286917,Baghain
24848199,80287285,Baghain
24848440,80287559,Baghain
24848661,80288006,Baghain
24848725,80290483,Baghain
24848751,81310720,Tons
24848761,80289919,Baghain
24848768,80288539,Baghain
24848768,80289198,Baghain
24848775,80291588,Baghain
24849045,80292317,Baghain
24849155,80079517,Ken
24849365,80292529,Baghain
24849857,81310220,Tons
24849984,80292709,Baghain
24851063,80072543,Ken
24851328,80292693,Baghain
24851330,81310064,Tons
24852210,80292717,Baghain
24852815,80067973,Ken
24852978,80292756,Baghain
24854130,80293702,Baghain
24854256,80065076,Ken
24854419,81309720,Tons
24855665,80294156,Baghain
24856233,81309595,Tons
24856534,80062072,Ken
24856635,81309733,Tons
24857097,81309892,Tons
24857274,80294641,Baghain
24857522,81310813,Tons
24858384,80294722,Baghain
24858831,80060119,Ken
24859714,80294998,Baghain
24859860,81311657,Tons
24860269,81311657,Tons
24860569,81311657,Tons
24860934,80295305,Baghain
24861440,80058767,Ken
24861874,80295484,Baghain
24862513,80295759,Baghain
24863131,80295986,Baghain
24863549,80296083,Baghain
24863909,80295978,Baghain
24863941,81311079,Tons
24864549,80295500,Baghain
24864879,80295160,Baghain
24864999,81311277,Tons
24865269,80294998,Baghain
24865901,80294917,Baghain
24866230,80057415,Ken
24867142,80295233,Baghain
24867568,80295662,Baghain
24867884,80296334,Baghain
24868039,80296706,Baghain
24868354,80301897,Baghain
24868384,80302391,Baghain
24868399,80301120,Baghain
24868457,80302845,Baghain
24868494,80300197,Baghain
24868516,80299565,Baghain
24868568,80297460,Baghain
24868582,80298893,Baghain
24868604,80303242,Baghain
24868707,80298010,Baghain
24868972,80303460,Baghain
24869091,80056536,Ken
24869402,82397532,Belan
24869480,82396199,Belan
24869515,80303703,Baghain
24869839,80303906,Baghain
24870103,80304165,Baghain
24870328,82395369,Belan
24870331,80304537,Baghain
24870784,81312359,Tons
24870799,82398899,Belan
24870924,82394798,Belan
24871051,80305412,Baghain
24871426,80305260,Baghain
24871552,82393518,Belan
24871598,80304992,Baghain
24871786,80304737,Baghain
24871976,82399383,Belan
24872102,82391701,Belan
24872304,80055034,Ken
24872463,82400093,Belan
24872480,80304397,Baghain
24872871,82400975,Belan
24872980,81312609,Tons
24873328,80304162,Baghain
24873405,82401909,Belan
24873420,82405076,Belan
24873491,80054326,Ken
24874017,82386181,Belan
24874203,80304110,Baghain
24874728,80304191,Baghain
24874949,81313468,Tons
24875088,80304486,Baghain
24875226,82382721,Belan
24875426,80304899,Baghain
24875738,80305175,Baghain
24875847,80052459,Ken
24876529,82378533,Belan
24876583,80305964,Baghain
24876716,80310239,Baghain
24876736,80308991,Baghain
24876840,80308384,Baghain
24877031,81314717,Tons
24877031,80306446,Baghain
24877095,80310989,Baghain
24877126,80307519,Baghain
24877251,82377443,Belan
24877287,80051085,Ken
24877287,80306809,Baghain
24877737,82377080,Belan
24877947,80311739,Baghain
24878208,82376855,Belan
24878409,80312100,Baghain
24878462,81315545,Tons
24878475,80050506,Ken
24878929,80312449,Baghain
24879119,82376855,Belan
24879370,80049970,Ken
24879578,80312309,Baghain
24879916,80312196,Baghain
24880246,80048961,Ken
24880247,81316357,Tons
24880563,82377236,Belan
24880616,80048028,Ken
24880651,80311580,Baghain
24880927,80047556,Ken
24881172,80310981,Baghain
24881540,80310536,Baghain
24881550,80047427,Ken
24881881,82377409,Belan
24881951,80310301,Baghain
24882144,80047416,Ken
24882766,80310131,Baghain
24883205,80046676,Ken
24883369,80310139,Baghain
24883608,82377028,Belan
24883993,80310430,Baghain
24884030,81317825,Tons
24884361,80310859,Baghain
24884519,80045217,Ken
24884552,80311305,Baghain
24884721,80311847,Baghain
24884840,80045228,Ken
24884848,82376630,Belan
24885014,80312568,Baghain
24885235,80313119,Baghain
24885570,82350763,Belan
24885573,80314868,Baghain
24885633,82376232,Belan
24885680,82347233,Belan
24885790,82354535,Belan
24885794,80045936,Ken
24886263,80317103,Baghain
24886323,82357286,Belan
24886385,82344853,Belan
24886388,80318512,Baghain
24886594,80319403,Baghain
24886640,80046547,Ken
24886826,82375108,Belan
24886905,81318980,Tons
24886954,80319581,Baghain
24886982,82359310,Belan
24887195,80046622,Ken
24887299,80319630,Baghain
24887469,82341194,Belan
24887657,82374260,Belan
24887769,80319824,Baghain
24887830,82364241,Belan
24888097,82366404,Belan
24888207,80046558,Ken
24888269,80320116,Baghain
24888301,82368584,Belan
24888379,82373083,Belan
24888536,82371889,Belan
24888662,81320370,Tons
24889070,82336575,Belan
24889363,80321185,Baghain
24890075,80321683,Baghain
24890465,80045893,Ken
24890592,82330657,Belan
24891020,80322004,Baghain
24891370,82327604,Belan
24891659,81673000,Rihand - Dadri HVDC Line
24891679,81323446,Tons
24891707,82326279,Belan
24891857,80322056,Baghain
24892376,81671321,Rihand - Dadri HVDC Line
24892918,80045346,Ken
24893010,82320345,Belan
24893264,80321987,Baghain
24893571,80321993,Baghain
24894075,80322170,Baghain
24894391,82317144,Belan
24894569,81326882,Tons
24894699,80044616,Ken
24894952,80322508,Baghain
24895489,82314894,Belan
24895547,81670080,Rihand - Dadri HVDC Line
24895596,80322680,Baghain
24895773,81329177,Tons
24896116,80322840,Baghain
24896127,81330661,Tons
24896282,80323023,Baghain
24896594,80323934,Baghain
24896604,82312974,Belan
24896692,80325142,Baghain
24896703,80324317,Baghain
24896704,80043500,Ken
24896744,80325560,Baghain
24896957,80325783,Baghain
24897090,81334128,Tons
24897383,80325846,Baghain
24897716,80325995,Baghain
24897883,81336283,Tons
24897911,82061313,Belan
24898000,82060420,Belan
24898027,80325921,Baghain
24898063,82311780,Belan
24898078,82059808,Belan
24898300,82062402,Belan
24898334,80325737,Baghain
24898445,80042642,Ken
24898455,82059307,Belan
24898754,82059053,Belan
24898817,80325508,Baghain
24898841,81668641,Rihand - Dadri HVDC Line
24898917,82287546,Belan
24898999,82066170,Belan
24899055,82067626,Belan
24899055,82063919,Belan
24899077,82067015,Belan
