lat,lon,name
25000065,80478427,Kalinjar Fort
25000149,80368534,Baghain
25000248,80018838,Panchampur
25000491,80368580,Baghain
25000550,80494110,Kalinjar Fort Hill Road
25000553,80494139,Kalinjar Fort Hill Road
25000560,80874693,Tikaria
25000563,80875435,B
25000566,80494170,Kalinjar Fort Hill Road
25000576,80494055,Kalinjar Fort Hill Road
25000595,80494209,Kalinjar Fort Hill Road
25000643,80494259,Kalinjar Fort Hill Road
25000707,80494302,Kalinjar Fort Hill Road
25000784,80494339,Kalinjar Fort Hill Road
25000788,80221646,Lasgarha
25000813,80368646,Baghain
25000875,80494348,Kalinjar Fort Hill Road
25000918,80188690,Banjari
25000977,80494340,Kalinjar Fort Hill Road
25000980,80494118,Kalinjar Fort
25001036,80494317,Kalinjar Fort Hill Road
25001095,80494288,Kalinjar Fort Hill Road
25001197,80494206,Kalinjar Fort Hill Road
25001266,80494123,Kalinjar Fort Hill Road
25001298,80494072,Kalinjar Fort Hill Road
25001323,80494008,Kalinjar Fort Hill Road
25001398,80493675,Kalinjar Fort Hill Road
25001446,80368701,Baghain
25001470,80491391,Kalinjar Fort
25001565,80493173,Kalinjar Fort Hill Road
25001722,80490229,Kalinjar Fort
25001819,80492342,Kalinjar Fort Hill Road
25001895,80479512,Kalinjar Fort
25001913,80491932,Kalinjar Fort Hill Road
25001916,80878223,B
25001917,80491891,Kalinjar Fort Hill Road
25001918,80491847,Kalinjar Fort Hill Road
25001922,80491653,Kalinjar Fort Hill Road
25001925,80491618,Kalinjar Fort Hill Road
25001930,80491582,Kalinjar Fort Hill Road
25002036,80479794,Nilkanth Shiva Temple
25002068,80491054,Kalinjar Fort Hill Road
25002072,80368508,Baghain
25002108,80490976,Kalinjar Fort Hill Road
25002198,80490819,Kalinjar Fort Hill Road
25002221,80490761,Kalinjar Fort Hill Road
25002237,80490702,Kalinjar Fort Hill Road
25002342,80490220,Kalinjar Fort Hill Road
25002371,80489749,Kalinjar Fort Hill Road
25002387,80489643,Kalinjar Fort Hill Road
25002421,80489544,Kalinjar Fort Hill Road
25002445,80489516,Kalinjar Fort Hill Road
25002466,80368320,Baghain
25002478,80489498,Kalinjar Fort Hill Road
25002585,80489478,Kalinjar Fort Hill Road
25002621,80489462,Kalinjar Fort Hill Road
25002667,80368161,Baghain
25002675,80489395,Kalinjar Fort Hill Road
25002701,80489167,Kalinjar Fort Hill Road
25002768,80488990,Kalinjar Fort Hill Road
25002822,80368006,Baghain
25002879,80488831,Kalinjar Fort Hill Road
25003079,80480201,Kalinjar Fort
25003089,80488569,Kalinjar Fort Hill Road
25003133,80368002,Baghain
25003231,80483265,Kalinjar Fort
25003242,80488366,Kalinjar Fort Hill Road
25003250,80880971,B
25003315,80488226,Kalinjar Fort Hill Road
25003402,80488054,Kalinjar Fort Hill Road
25003421,80367843,Baghain
25003434,80487959,Kalinjar Fort Hill Road
25003452,80487861,Kalinjar Fort Hill Road
25003454,80487742,Kalinjar Fort Hill Road
25003458,80487626,Kalinjar Fort Hill Road
25003486,80487564,Kalinjar Fort Hill Road
25003524,80487515,Kalinjar Fort Hill Road
