name,lat,lon
Sarai Bakevar,26099435,80476907
Jahanabad,26103621,80353154
Ghatampur,26155119,80167498
Bhognipur,26202529,79812363
Gopalpur Narwal,26201306,80351640
Pukhrayan,26226946,79839767
Sarsaul,26284004,80488400
Akbarpur,26383210,79948839
Derapur,26418600,79793200
Sachendi,26425418,80169434
Rura,26489896,79901135
Jhinjhak,26562858,79734003
Rasulabad,26677656,79778121
Shiwarajpur,26685037,80143595
Safipur,26737783,80344557
Hasanganj,26774101,80636436
Mohan,26780274,80674572
Asiwan,26801102,80483411
Bilhaur,26842485,80064579
Araul,26921482,80019557
Malihabad,26923195,80710045
Gunj Muradabad,26956900,80183000
Kānpur,26500000,80000000
Unnāo,26500000,80500000
Kalianpur,26503251,80252686
kda chauraha,26425968,80392243
Bhaupur,26468619,80124861
local,26464919,80242425
Jajmau,26400882,80400004
Kargil circle,26510464,80235343
Fatehpur,25916752,80801665
Kurasti Kalan,25958852,80749338
Madhonganj,27121752,80146777
Mallanwan,27038568,80158288
Lalpur,26318614,79948381
Mariampur School,26465833,80305277
Mariampur Hospital,26465464,80305789
Bithoor,26603555,80272428
Sirsaul,26295832,80464136
Bindki Road,26116535,80580766
Ghatampur,26151482,80174645
Patara,26232793,80203913
Sheoli,26601755,80043341
Aroul,26920643,80018951
Bilhaur,26839656,80060635
Kanpur,26460913,80321758
Barrajpur,26685861,80138977
Utripura,26740216,80095995
Unnao,26543584,80487148
Rasulabad,26744723,80489760
Bangarmau,26891644,80215060
Kanpur Anwarganj,26455843,80328102
Darshan Purwa Park,26465483,80314929
New Vasanth Cinema,26465420,80313250
Central Park,26464330,80312741
Agarwal Hospital,26464244,80314388
Gumti Gurudwara,26469238,80317038
Rama Krishna Mission Hospital,26468763,80318223
St Xaviers High School,26470832,80318127
Hiralal Khanna College,26470203,80320010
Mahatma Gandhi College,26468057,80289674
Rahul Sweets and Namkin,26463794,80294112
Saraswati Mahila Mahavidyalaya,26466023,80290210
Central Bank of India,26466430,80290153
Aashi Medical Store,26464961,80290550
Rama Medical Store,26464947,80290434
Mishra Motor Training School,26465110,80292966
Seema Provision and General Store,26465298,80293196
Richa Electronics,26463468,80294308
New Golden Medical Store,26463533,80294301
Peter England,26467239,80314440
Bank of Baroda,26466467,80313625
Raj Jewelry,26467110,80314285
Jeet Electronics,26467173,80314607
Dashmesh Cloth House,26467836,80315436
BATA,26468279,80315865
Gurunanak Cloth House,26467902,80315523
Krishna Optician,26468368,80315997
Shri Durga Fruit Co,26467946,80315562
Dalmia Fashion Mall,26469063,80317590
Liberty,26468490,80316007
Regal Foot World,26468337,80316230
Novelty Collection,26468370,80316190
M/s Sukhmani,26468183,80316565
Hemkunt Hosiery,26468251,80316160
Deepa Foot World,26468193,80316127
Paramax Readymade,26467543,80315010
Z-Rivaaj Ladies,26467216,80314684
Bombay Garment House,26467690,80314933
Suman Suits Fashion,26467742,80314996
Mosque,26465011,80291258
Kohli Fashion,26465139,80293734
Kumar Optician,26465280,80293667
Rashmi Optician,26464816,80293868
Eye Care Optician,26464957,80293815
Sumeet Medical Store,26463298,80295215
Kalyan Bakery Corner,26463490,80295207
Shriya Electricals,26463485,80294892
Ahuja Electronics,26463531,80294487
Dr Shiv Mangal Singh,26464052,80294101
Arora Shoes,26463555,80294562
Drinking Water on Platform-4,26454804,80352536
Kanpur Central Parking (Contonment Side),26453611,80351536
Kanpur Central Parking (City Side),26455103,80351228
Kalpi,26120062,79756089
Shuklaganj,26478904,80388953
Kanpur Cantonment,26448766,80365065
Naubasta,26406561,80324038
Lala Lajpat Rai and Associate Hospital,26478124,80311431
State Bank of India,26508277,80230901
Union Bank of India,26508233,80230898
Campus Restaurant,26511550,80236353
Union Bank of India,26511270,80236316
trial,26456787,80353476
Karbigwan,26197938,80506027
Kalpi,26121671,79745818
Dilawarnagar,26959684,80667807
Malihabad,26930914,80714851
Temple,26470433,80288257
Dolphin Junior High School,26472638,80286978
Life Care Chemist,26472721,80286866
Queens Memorial School,26472468,80286311
Swaraj India Public School,26472689,80288067
Essel Palace,26463495,80298623
Adarsh Saraswati vidya mandir,26498881,80305853
Bank of India,26499117,80305933
United Bank of India,26497873,80307594
RBRD Inter college,26497326,80309447
St John School,26496486,80308111
Ajgain,26611506,80628926
"Gorgeouss, Products for young girls",26476749,80294708
Bangarmau,26892285,80221610
ICICI Bank,26507028,80228844
Kolkata Kathi Roll,26505033,80229228
Wazwan Foods,26505061,80229269
Book Club,26504755,80229290
Kanpur Central,26453861,80351243
Academic Area Gate 2,26510527,80234796
Academic Area Gate 3,26510543,80231955
Noble Book Stall,26511373,80236191
Academic Area Gate 1,26513093,80235257
Looks Men Hair Salon,26511693,80236174
Beer Shop,26511519,80246503
Bithur,26600809,80272228
Bhanu botique,26485503,80336689
Tirwaganj,26957646,79789204
Auras,26914528,80507847
Makanpur,26902144,79979130
Thathia,26925448,79898541
Southern Labs Canteen,26511789,80234290
Pariyar,26629900,80321390
Tannery_1,26491080,80323340
Tannery_2,26432844,80404437
Tannery_3,26431278,80406771
Tannery_4,26432526,80409285
Tannery_5,26432026,80408812
Nana Rao Peshva Statue,26611431,80269801
Seth Anandram Jaipuria School,26461454,80366962
Hall 2 Canteen,26510866,80229879
"69 E barra 3 Janta Nagar, Kanpur,uttar pradesh, india",26440750,80292136
Magarwara,26515200,80430805
jak,26467373,80349177
Bangarmau - Madhauganj SH38,26927516,80200721
Bangarmau - Madhauganj SH38,26928464,80195614
Bhimsen Junction,26420366,80219292
Hukka Restaurant,26483531,80320598
Famous Tailor,26431985,80336487
Domino's,26505131,80229457
Minda kua,26611762,79766698
Ramakrishna Mission Ashrama,26468699,80318614
Kanpur- Aligarh,26912728,80033204
Kanpur- Aligarh,26909791,80027410
Lalpur,26321381,79950114
Taragaon,26531199,80604017
Pokhrayan,26223440,79841117
Gwaltoli,26484390,80329127
Nawab Ganj,26621317,80666423
प्राथमिक स्वास्थ्य केन्द्र,26471277,80326793
Rave 3,26491881,80327782
Petrol Pump,26486388,80339393
Geeta Nagar Park,26483481,80291347
Geeta Nagar Gurudwara,26484270,80290921
Chakeri,26379609,80408615
KIT  Boys Hostel,26368875,80425237
Allen House group of Colleges,26365493,80436167
Allen House Public School,26364974,80434485
Bharat Petroleum,26363371,80432721
Mandhana Junction,26557056,80222755
Rawatpur,26483249,80298209
Armapur,26472455,80264482
Panki,26465886,80245599
Panki,26459561,80239069
Kanpur Bridge Left Bank,26476719,80378964
Govindpuri,26453677,80312879
Kidwai Nagar,26440988,80341987
Patra,26481416,79958695
Ajgain,26617363,80621349
Kusumbhi,26639278,80654005
China Town,26511444,80246336
Ramadevi Chouraha,26411501,80386750
lal bangla bus stand,26416190,80392299
Barajod (Bara),26385291,80019069
Barajod (Bara),26385388,80019006
Usaka ( Chamari),26036698,79577960
Usaka ( Chamari),26036590,79578008
govt hosprital bhunna,26881054,79911255
SRI HORILAL PARWATI INTER COLLAGE BHUNNA,26880883,79910820
Guest house,26885802,80214194
IIT Kanpur,26509198,80248291
Dhamma Kalyana Vipassana Meditation Centre,26378435,80487965
Jio BP Diesel,26904418,80013628
Bangarmau Airfield,26917624,80264098
Bangarmau Airfield,26924461,80213408
Ugu,26797450,80321559
Kursath,26870516,80410823
Chaunrah,26165420,79782416
Malasa,26287042,79904766
Tilaunchi,26332609,80006994
Paman,26359986,80080579
Binaur,26395194,80162125
Rasulpur Gogumau,26379733,80125642
Sirhi Itara,26367310,80215618
Dohru,26090655,80175405
Kathara Road,26309905,80228576
Jainpur,26359458,79992409
ASC TIRAHA,26420224,80399267
POP Fiber KDA,26430889,80391117
Regency Hospital Limited's Blood Bank,26484278,80264018
GSVM Medical College Blood Bank,26481396,80307631
LPS Institute of Cardiology's Blood Bank,26481158,80303567
"Life Line Blood Bank, Sarvoday Nagar",26479715,80299831
CLM Hospital and Blood Bank,26463812,80296611
Mariampur Hospital and Blood Bank,26465309,80305608
Sai Blood Bank,26433262,80322297
Sneh Pathology X-ray and Blood Bank,26439352,80336680
Krishna Super Speciality Hospital's Blood Bank,26450273,80344380
Air Force Hospital's Blood Bank,26446694,80375668
Combined District Hospital (M) Blood Bank,26370589,79958316
Saraswati Blood Bank,26623380,80706167
Rama Medical College Hospital and Research Centre's Blood Bank,26567307,80220869
SPM Hospital Research and Trauma Centre's Blood Bank,26501012,80257571
GSVM Medical College Blood Bank,26478793,80309296
Tulsi Hospital Limited's Blood Bank,26479550,80344069
Mayanjali Charitable Blood Bank,26481707,80344683
Madhulok Hospital's Blood Bank,26424117,80320260
Shifa Eye Research Centre(Ana Eye Hospital),26468316,80335746
Shekhar Rastogi Eye Hospital,26494503,80279083
Merry Gold Hospital,26409045,80327432
R.K.Sindhi Sangh Maternity Hospital,26452789,80302311
"Rama Medical College Hospital, Kanpur Nagar",26567193,80220860
Shivani Hospital Pvt Ltd,26471851,80302061
Tulsi Hospitals Ltd,26479496,80344069
"Krishnalok Hospital, Unnao",26553279,80503825
Jeevani Hospital,26479589,80310640
Gopal Krishna Surgical and Maternity Clinic,26439615,80309123
S.R Hospital and Diagnostic Point,26420139,80329320
Maa Durga Hospital and Research Center,26498445,80237463
Hamid Hospital,26472122,80340635
Regency Hospital,26479357,80301563
Ratandeep Hospital,26480882,80299422
Royal Cancer Institute and Research Centre,26479268,80316029
North Star Hospital and Joint Replacement center,26463591,80359061
Rama Dental College Hospital and Research Centre,26499037,80273214
Rama Shiv Hospital,26430973,80307937
Akshi Eye Care Centre,26498343,80311788
Madhav Eye Hospital,26495239,80269344
Bhargava Hospital,26474325,80350167
St. Catherine's Hospital,26458150,80360392
New Shiv Raj Hospital,26422144,80319667
Nasir Hospital,26431153,80405631
Paliwal Eye and Retina Centre,26484117,80319890
"Jain Hospital, Kanpur Nagar",26413760,80383268
Asha Hospital and Maternity Center,26150694,80164232
New G.T. Nursing Home,26481792,80302235
Dwivedi Hospital,26472789,80292701
"Krishnalok Hospital, Kanpur Nagar",26404430,80315024
Swati Hospital and Research Center,26420413,80319592
Mahsa Hospital,26426279,80400032
Navyug Nursing Home,26472867,80325494
Nawabganj Seva Hospital,26619633,80669899
Huma Hospital,26438757,80343816
D S Memorial Nursing Home,26480721,80300092
Fortune Hospital,26487941,80289306
Ktc's Vedanta (A Hospital And Research Centre) Kanpur Ortho And Trauma Centre Pvt Ltd,26478851,80322929
Suraj Medical and Diagnostics Pvt Ltd,26476527,80295145
Dey's Hospital,26419361,80389594
Prem Maternity Home,26469431,80320283
Shyam Children and Maternity Centre,26500529,80257076
Sulaxmi Hospital,26500016,80305323
Jagdish Prasad Nigam Memorial Hospital Pvt Ltd,26537582,80477637
Jai Baba Hospital,26553337,80481792
Rajrani Hospital,26399450,80314671
L.P.S . Institute Of Cardilogy,26481216,80303460
Abha Nursing Home Pvt Ltd,26485451,80325028
Awasthi's Nursing Home,26415205,80390298
Kanpur Trauma and Ortho. Centre,26502096,80250733
Madhulok Hospital,26424059,80320220
Lala Amba Prasad Smarak Chikitsalaya,26475686,80356015
Madhuraj Multi Speciality Hospital,26479551,80317530
C.P.Memorial Nursing Home,26541725,80479413
"CHC, Sarsaul",26293831,80482923
Jolly Nursing Home and Research Centre (P) Ltd,26469304,80314980
C L Memorail Hospital and Maternity Home Pvt Ltd,26462990,80305702
R K Devi Eye Research Institute,26481961,80317237
Bimal Nursing Home,26479946,80304062
New Leelamani Hospital,26479613,80343773
