type,id,name,lat,lon
node,245742667,Sarai Bakevar,26099435,80476907
node,245742832,Jahanabad,26103621,80353154
node,245743811,Ghatampur,26155119,80167498
node,245744824,Bhognipur,26202529,79812363
node,245745022,Gopalpur Narwal,26201306,80351640
node,245745098,Pukhrayan,26226946,79839767
node,245746681,Sarsaul,26284004,80488400
node,245747339,Akbarpur,26383210,79948839
node,245747883,Derapur,26418600,79793200
node,245748091,Sachendi,26425418,80169434
node,245748991,Rura,26489896,79901135
node,245750009,Jhinjhak,26562858,79734003
node,245751254,Rasulabad,26677656,79778121
node,245751277,Shiwarajpur,26685037,80143595
node,245751946,Safipur,26737783,80344557
node,245752505,Hasanganj,26774101,80636436
node,245752671,Mohan,26780274,80674572
node,245753146,Asiwan,26801102,80483411
node,245753746,Bilhaur,26842485,80064579
node,245754612,Araul,26921482,80019557
node,245754742,Malihabad,26923195,80710045
node,245755135,Gunj Muradabad,26956900,80183000
node,316417255,Kānpur,26500000,80000000
node,316417318,Unnāo,26500000,80500000
node,559148148,Kalianpur,26503251,80252686
node,559171989,kda chauraha,26425968,80392243
node,563991642,Bhaupur,26468619,80124861
node,567514389,local,26464919,80242425
node,576305890,Jajmau,26400882,80400004
node,683460508,Kargil circle,26510464,80235343
node,784366401,Fatehpur,25916752,80801665
node,784366885,Kurasti Kalan,25958852,80749338
node,784367881,Madhonganj,27121752,80146777
node,784368092,Mallanwan,27038568,80158288
node,906601604,Lalpur,26318614,79948381
node,1012264148,Mariampur School,26465833,80305277
node,1012264149,Mariampur Hospital,26465464,80305789
node,1162987924,Bithoor,26603555,80272428
node,1168873929,Sirsaul,26295832,80464136
node,1179150266,Bindki Road,26116535,80580766
node,1179539714,Ghatampur,26151482,80174645
node,1179543005,Patara,26232793,80203913
node,1180596853,Sheoli,26601755,80043341
node,1180606073,Aroul,26920643,80018951
node,1180630183,Bilhaur,26839656,80060635
node,1180652177,Kanpur,26460913,80321758
node,1180827668,Barrajpur,26685861,80138977
node,1180832589,Utripura,26740216,80095995
node,1181276716,Unnao,26543584,80487148
node,1181277430,Rasulabad,26744723,80489760
node,1197301649,Bangarmau,26891644,80215060
node,1229583046,Kanpur Anwarganj,26455843,80328102
node,1291412674,Darshan Purwa Park,26465483,80314929
node,1291412679,New Vasanth Cinema,26465420,80313250
node,1291412681,Central Park,26464330,80312741
node,1291414310,Agarwal Hospital,26464244,80314388
node,1291414311,Gumti Gurudwara,26469238,80317038
node,1291414312,Rama Krishna Mission Hospital,26468763,80318223
node,1291414947,St Xaviers High School,26470832,80318127
node,1291415471,Hiralal Khanna College,26470203,80320010
node,1291415473,Mahatma Gandhi College,26468057,80289674
node,1291415474,Rahul Sweets and Namkin,26463794,80294112
node,1296946249,Saraswati Mahila Mahavidyalaya,26466023,80290210
node,1296946251,Central Bank of India,26466430,80290153
node,1296946764,Aashi Medical Store,26464961,80290550
node,1296946766,Rama Medical Store,26464947,80290434
node,1296947188,Mishra Motor Training School,26465110,80292966
node,1296947189,Seema Provision and General Store,26465298,80293196
node,1296963468,Richa Electronics,26463468,80294308
node,1296963479,New Golden Medical Store,26463533,80294301
node,1299182301,Peter England,26467239,80314440
node,1299182302,Bank of Baroda,26466467,80313625
node,1299182304,Raj Jewelry,26467110,80314285
node,1299182824,Jeet Electronics,26467173,80314607
node,1299182825,Dashmesh Cloth House,26467836,80315436
node,1299182826,BATA,26468279,80315865
node,1299183278,Gurunanak Cloth House,26467902,80315523
node,1299183279,Krishna Optician,26468368,80315997
node,1299183280,Shri Durga Fruit Co,26467946,80315562
node,1299183608,Dalmia Fashion Mall,26469063,80317590
node,1299183609,Liberty,26468490,80316007
node,1299183610,Regal Foot World,26468337,80316230
node,1299183994,Novelty Collection,26468370,80316190
node,1299183995,M/s Sukhmani,26468183,80316565
node,1299183996,Hemkunt Hosiery,26468251,80316160
node,1299183997,Deepa Foot World,26468193,80316127
node,1299184240,Paramax Readymade,26467543,80315010
node,1299184241,Z-Rivaaj Ladies,26467216,80314684
node,1299184242,Bombay Garment House,26467690,80314933
node,1299184243,Suman Suits Fashion,26467742,80314996
node,1300455753,Mosque,26465011,80291258
node,1301631033,Kohli Fashion,26465139,80293734
node,1301631041,Kumar Optician,26465280,80293667
node,1301631042,Rashmi Optician,26464816,80293868
node,1301631043,Eye Care Optician,26464957,80293815
node,1301645793,Sumeet Medical Store,26463298,80295215
